DATE,MKT,VAL,MOM,QUAL
1984-10-31,0.9246429909696644,0.025119003010111867,0.025119003010111867,0.025119003010111864
1984-11-30,0.9110276938886737,0.04448615305566317,0.022243076527831585,0.022243076527831585
1984-12-31,0.9246429909696644,0.0376785045151678,0.0188392522575839,0.0188392522575839
1985-01-31,0.8660064448741971,0.06699677756290146,0.03349838878145073,0.03349838878145073
1985-02-28,0.8002709079740353,0.07989163681038587,0.07989163681038587,0.039945818405192936
1985-03-31,0.8157950148522346,0.0921024925738827,0.04605124628694135,0.04605124628694135
1985-04-30,0.8118804023245347,0.07524783907018612,0.07524783907018612,0.03762391953509306
1985-05-31,0.7850979590271057,0.08596081638915774,0.08596081638915774,0.04298040819457887
1985-06-30,0.7605582990743927,0.09577668037024295,0.09577668037024295,0.047888340185121475
1985-07-31,0.7380721624840866,0.1309639187579567,0.06548195937897835,0.06548195937897835
1985-08-31,0.7690432178113014,0.09238271287547946,0.09238271287547946,0.04619135643773973
1985-09-30,0.8028335470750689,0.07886658116997243,0.07886658116997243,0.039433290584986215
1985-10-31,0.792641287674181,0.08294348493032762,0.08294348493032762,0.04147174246516381
1985-11-30,0.7197303298833538,0.14013483505832308,0.07006741752916154,0.07006741752916154
1985-12-31,0.6625591985412497,0.13497632058350015,0.13497632058350015,0.06748816029175007
1986-01-31,0.6594777227905031,0.17026113860474845,0.08513056930237423,0.08513056930237423
1986-02-28,0.5945462121029294,0.20272689394853532,0.10136344697426766,0.10136344697426766
1986-03-31,0.5256566367567612,0.2371716816216194,0.1185858408108097,0.1185858408108097
1986-04-30,0.4980801149317611,0.20076795402729558,0.20076795402729558,0.10038397701364779
1986-05-31,0.4984664715187204,0.1253833821203199,0.2507667642406398,0.1253833821203199
1986-06-30,0.47496053115615006,0.21001578753754002,0.21001578753754002,0.10500789376877001
1986-07-31,0.4977140639314075,0.200914374427437,0.200914374427437,0.1004571872137185
1986-08-31,0.4802943935350925,0.12992640161622687,0.25985280323245374,0.12992640161622687
1986-09-30,0.5118850806039922,0.19524596775840314,0.19524596775840314,0.09762298387920157
1986-10-31,0.5149967683208097,0.12125080791979759,0.24250161583959517,0.12125080791979759
1986-11-30,0.48289076057604435,0.20684369576958225,0.20684369576958225,0.10342184788479113
1986-12-31,0.46855916929206787,0.13286020767698303,0.26572041535396607,0.13286020767698303
1987-01-31,0.416000726419671,0.14599981839508225,0.14599981839508225,0.2919996367901645
1987-02-28,0.3649635613550484,0.1587591096612379,0.3175182193224758,0.1587591096612379
1987-03-31,0.3319368435999306,0.26722526256002777,0.26722526256002777,0.13361263128001388
1987-04-30,0.34409744016173716,0.1639756399595657,0.3279512799191314,0.1639756399595657
1987-05-31,0.3462476618740755,0.16343808453148112,0.32687616906296224,0.16343808453148112
1987-06-30,0.3115796487045559,0.27536814051817765,0.27536814051817765,0.13768407025908883
1987-07-31,0.28839290956202496,0.3558035452189875,0.17790177260949375,0.17790177260949375
1987-08-31,0.24315315276940697,0.18921171180764826,0.3784234236152965,0.18921171180764826
1987-09-30,0.27137908234265584,0.2914483670629377,0.2914483670629377,0.14572418353146885
1987-10-31,0.3815747108053785,0.15460632229865537,0.30921264459731074,0.15460632229865537
1987-11-30,0.5083095005817617,0.19667619976729533,0.19667619976729533,0.09833809988364767
1987-12-31,0.520773064411189,0.1916907742355244,0.1916907742355244,0.0958453871177622
1988-01-31,0.4822115198133994,0.12944712004665015,0.2588942400933003,0.12944712004665015
1988-02-29,0.4538918114813328,0.21844327540746689,0.21844327540746689,0.10922163770373344
1988-03-31,0.4290710446183783,0.14273223884540542,0.28546447769081085,0.14273223884540542
1988-04-30,0.4450259568458435,0.13874351078853914,0.2774870215770783,0.13874351078853914
1988-05-31,0.4728304902714694,0.13179237743213265,0.2635847548642653,0.13179237743213265
1988-06-30,0.4225761962928781,0.14435595092678047,0.28871190185356094,0.14435595092678047
