DATE,MKT,VAL,MOM,QUAL
1987-11-30,0,0,0,0
1987-12-31,0,0,0,0
1988-01-31,0.0,0.0,0.0,1.0
1988-02-29,1.0,0.0,0.0,0.0
1988-03-31,0.13823694742325143,0.49769212631775495,0.0,0.3640709262589937
1988-04-30,0.0,0.0,0.0,1.0
1988-05-31,0.06534125778812479,0.5702640260485716,0.0,0.36439471616330354
1988-06-30,0.29734533872613994,0.4222556829331623,0.0,0.2803989783406979
1988-07-31,0.0,0.0,0.0,1.0
1988-08-31,0.7757492946777683,0.22425070532223157,0.0,0.0
1988-09-30,0.7011074752273723,0.030098342500117132,0.2687941822725107,0.0
1988-10-31,0.0,0.0,0.6244357594261103,0.3755642405738897
1988-11-30,0.0,0.0,1.0,0.0
1988-12-31,0.0,0.0,0.5591814520792074,0.4408185479207926
1989-01-31,0.6938022458976663,0.0,0.30320939387128243,0.002988360231051258
1989-02-28,0.10146903341529753,0.07033321775868918,0.5251813617460377,0.30301638707997547
1989-03-31,0.67084522472571,0.0,0.32915477527429005,0.0
1989-04-30,0.0,0.0,0.5534609500593,0.44653904994069993
1989-05-31,0.0,0.0,0.6217951478497663,0.3782048521502337
1989-06-30,0.637110404487681,0.0,0.3628895955123191,0.0
1989-07-31,0.0,0.0,0.6905616533032872,0.3094383466967128
1989-08-31,0.6204578144315214,0.0,0.3795421855684785,0.0
1989-09-30,0.5633138925809037,0.0,0.43668610741909636,0.0
1989-10-31,0.0,0.5045213590407943,0.0,0.49547864095920563
1989-11-30,0.25460493105912096,0.0,0.5452792984367846,0.20011577050409451
1989-12-31,0.16471678547857177,0.0,0.49007975454752795,0.3452034599739003
1990-01-31,0.0,0.09454058501655298,0.305162916702234,0.6002964982812131
1990-02-28,0.0,0.07097380576580208,0.27665944726145025,0.6523667469727477
1990-03-31,0.29147544723242796,0.0,0.5204157982393737,0.18810875452819834
1990-04-30,0.11036425036036082,0.0,0.5949613914305776,0.2946743582090616
1990-05-31,0.35551129157381545,0.0,0.4432752606036339,0.20121344782255063
1990-06-30,0.1495246302163441,0.0,0.46056037730177957,0.3899149924818764
1990-07-31,0.2153364243420752,0.0,0.5433095510737623,0.24135402458416244
1990-08-31,0.0,0.0,0.27527268372792413,0.7247273162720759
1990-09-30,0.0,0.0,0.38509826844972567,0.6149017315502743
1990-10-31,0.0,0.0,0.44182070558944136,0.5581792944105587
1990-11-30,0.6119445050784905,0.38805549492150954,0.0,0.0
1990-12-31,0.0,0.0,0.43754657067688174,0.5624534293231184
1991-01-31,0.0,0.0,0.48215614459062567,0.5178438554093743
1991-02-28,0.0,0.0,0.4298302853368019,0.5701697146631981
1991-03-31,0.058388009004215265,0.0,0.48120462871357694,0.4604073622822077
1991-04-30,0.03061898732521151,0.0,0.430970104244727,0.5384109084300616
1991-05-31,0.3299966331493272,0.0,0.5233130662897548,0.14669030056091792
1991-06-30,0.0,0.0,0.5950897584275033,0.4049102415724966
1991-07-31,0.2992896813310261,0.0,0.5429087641287451,0.15780155454022884
1991-08-31,0.0,0.0,0.6289035654050628,0.3710964345949373
1991-09-30,0.37862850620363947,0.0,0.5308889385807963,0.09048255521556432
1991-10-31,0.0,0.0,0.6664000737902238,0.33359992620977613
1991-11-30,0.24622381137632224,0.0,0.4044617836386726,0.34931440498500516
1991-12-31,0.36029139197251747,0.0,0.41149149590230416,0.22821711212517826
1992-01-31,0.0,0.0,0.7140797254646344,0.2859202745353656
1992-02-29,0.46397614915586977,0.0,0.5142560992567674,0.021767751587362903
1992-03-31,0.0,0.1229333891156077,0.6185302513459051,0.2585363595384873
1992-04-30,0.0,0.21778395601507247,0.5111561567905499,0.2710598871943776
1992-05-31,0.4836199926411871,0.0,0.4843014039582079,0.032078603400605026
1992-06-30,0.0,0.2726055523018332,0.44008889046985783,0.28730555722830897
1992-07-31,0.4885700751159526,0.0,0.46465917559012154,0.04677074929392587
1992-08-31,0.0,0.23655785151458497,0.4136315147390161,0.3498106337463988
1992-09-30,0.0,0.2261545447693042,0.4406020334984514,0.33324342173224447
1992-10-31,1.0,0.0,0.0,0.0
1992-11-30,0.9925486650717238,0.007451334928276271,0.0,0.0
1992-12-31,0.0,0.10144182878208936,0.7849161587751686,0.11364201244274212
1993-01-31,0.0,0.47569066822127665,0.48645928048971065,0.03785005128901265
1993-02-28,0.0,0.33065860712872946,0.4898120630500132,0.17952932982125738
1993-03-31,0.4900416070506792,0.0008197023985340439,0.4671766077169156,0.04196208283387111
1993-04-30,0.4576883208810601,0.054116678331173625,0.4881950007877664,0.0
1993-05-31,0.49605641992027355,0.028996556291885616,0.47494702378784087,0.0
1993-06-30,0.0,0.36065383949944146,0.5232816164253724,0.11606454407518613
1993-07-31,0.480429795075902,0.07559003003597901,0.44398017488811903,0.0
1993-08-31,0.0,0.3579332877551756,0.5394660171951583,0.10260069504966628
1993-09-30,0.456747470967177,0.07462031219199873,0.46863221684082434,0.0
1993-10-31,0.0,0.3480635053155229,0.5503109933970702,0.10162550128740684
1993-11-30,0.5294950538515694,0.0386264925180997,0.4318784536303309,0.0
1993-12-31,0.0,0.49097513559152567,0.5090248644084743,0.0
1994-01-31,0.0,0.41841522389459196,0.581584776105408,0.0
1994-02-28,0.0,1.0,0.0,0.0
1994-03-31,0.0,1.0,0.0,0.0
1994-04-30,0.0,0.0,0.0,1.0
1994-05-31,0.0,1.0,0.0,0.0
1994-06-30,1.0,0.0,0.0,0.0
1994-07-31,0.0,1.0,0.0,0.0
1994-08-31,0.0,1.0,0.0,0.0
1994-09-30,0.0,1.0,0.0,0.0
