DATE,GARCH_1m_FORECAST
1980-12-31,0.00911484711930479
1981-01-31,0.008962163423516007
1981-02-28,0.009478636918387238
1981-03-31,0.009180454242085745
1981-04-30,0.008769931303263527
1981-05-31,0.00812838450112017
1981-06-30,0.008210916173677267
1981-07-31,0.008715930073796141
1981-08-31,0.009016734132930184
1981-09-30,0.008819100292302033
1981-10-31,0.00875152939735206
1981-11-30,0.008229450457645884
1981-12-31,0.008058875069022696
1982-01-31,0.008121202863432295
1982-02-28,0.00843269257491457
1982-03-31,0.008080458241190847
1982-04-30,0.007964369422653644
1982-05-31,0.008206712620119386
1982-06-30,0.00825457657542755
1982-07-31,0.008132766550269855
1982-08-31,0.012185265735086943
1982-09-30,0.00841638823575255
1982-10-31,0.013745599915868063
1982-11-30,0.01007430900376221
1982-12-31,0.010078502361129268
1983-01-31,0.011630903843887095
1983-02-28,0.009592729048605154
1983-03-31,0.008008876638818893
1983-04-30,0.008826820013774309
1983-05-31,0.01022720462380379
1983-06-30,0.00921280117093046
1983-07-31,0.010672876291196967
1983-08-31,0.007522368811813575
1983-09-30,0.0067136988638380034
1983-10-31,0.007195007648538511
1983-11-30,0.007922213625604005
1983-12-31,0.004957550597378155
1984-01-31,0.006279417867549317
1984-02-29,0.006931734203054278
1984-03-31,0.0070000577655988765
1984-04-30,0.006863876217418259
1984-05-31,0.006835459000463488
1984-06-30,0.006848820572705974
1984-07-31,0.006467118613257464
1984-08-31,0.0063337470925902166
1984-09-30,0.0061626417168623515
1984-10-31,0.0067897889425112936
1984-11-30,0.006856812356674613
1984-12-31,0.006855016347080064
1985-01-31,0.006906678774392211
1985-02-28,0.006714763296963191
1985-03-31,0.006622922390460237
1985-04-30,0.006437982638283987
1985-05-31,0.005774974706339048
1985-06-30,0.005909210558573029
1985-07-31,0.0063104925218775716
1985-08-31,0.0055663898044137055
1985-09-30,0.0055852196537606435
1985-10-31,0.005505093215115597
1985-11-30,0.005478670645403891
1985-12-31,0.0054545110944654385
1986-01-31,0.005520912541188091
1986-02-28,0.005537093158005847
1986-03-31,0.005622420930369251
1986-04-30,0.006127749545601862
1986-05-31,0.006202316977985561
1986-06-30,0.0063615518438194015
1986-07-31,0.006800288759081094
1986-08-31,0.006905134603114544
1986-09-30,0.007845455135738597
1986-10-31,0.007643361441522323
1986-11-30,0.007699012605112964
1986-12-31,0.007722931080047066
1987-01-31,0.007876279885724022
1987-02-28,0.008041842989676874
1987-03-31,0.008111017140042583
1987-04-30,0.008318284948188077
1987-05-31,0.00861366411072772
1987-06-30,0.007754199275434148
1987-07-31,0.0068187268652629635
1987-08-31,0.008316206475165708
1987-09-30,0.008316013814566496
1987-10-31,0.04252952977206112
1987-11-30,0.011417505279204692
1987-12-31,0.013419615019595942
1988-01-31,0.014492002109588597
1988-02-29,0.007835609603057616
1988-03-31,0.008861547258563815
1988-04-30,0.010132201127330674
1988-05-31,0.007579572765639975
1988-06-30,0.011076855514064976
1988-07-31,0.010061826515182648
1988-08-31,0.009282864039094159
1988-09-30,0.007262661326451483
1988-10-31,0.007932248731755926
1988-11-30,0.008078334943910997
1988-12-31,0.006425160982217052
1989-01-31,0.007334211171106758
1989-02-28,0.007231786411639996
1989-03-31,0.007146581136950373
1989-04-30,0.00673927365615882
1989-05-31,0.006269470923791602
1989-06-30,0.0063122897805729964
1989-07-31,0.006126504167048716
1989-08-31,0.00585167573942917
1989-09-30,0.005900590604053948
1989-10-31,0.006795089539563315
1989-11-30,0.006675532458959621
1989-12-31,0.006724584553483413
1990-01-31,0.007319864298471272
1990-02-28,0.0072118954892956035
1990-03-31,0.007169350806635617
1990-04-30,0.007332881869419574
1990-05-31,0.007269033628953125
1990-06-30,0.00731935550409726
1990-07-31,0.007383988480780867
1990-08-31,0.010442464987299114
1990-09-30,0.009734582896006006
1990-10-31,0.010404477885958725
1990-11-30,0.007829443578014105
1990-12-31,0.006366915484950525
1991-01-31,0.009619855120298488
1991-02-28,0.009597928717569459
1991-03-31,0.008112399531174534
1991-04-30,0.00880801322340402
1991-05-31,0.009687837312532182
1991-06-30,0.00909720343578805
1991-07-31,0.009361250437862931
1991-08-31,0.008746007832212362
1991-09-30,0.00810831820978514
1991-10-31,0.0073300608389455894
1991-11-30,0.007574358219826172
1991-12-31,0.008063487653333784
1992-01-31,0.007498982218995036
1992-02-29,0.007345120611434551
1992-03-31,0.0070565871041958165
1992-04-30,0.007137461583152113
1992-05-31,0.0070586824334242584
1992-06-30,0.006825295404939696
1992-07-31,0.006865597265182076
1992-08-31,0.0065231975957463564
1992-09-30,0.0065839880028118695
1992-10-31,0.006556460097797705
1992-11-30,0.005644131948370136
1992-12-31,0.005649046671025727
1993-01-31,0.005447865341504925
1993-02-28,0.0056152178312105765
1993-03-31,0.0056907659362713855
1993-04-30,0.0054313960235524185
1993-05-31,0.005487371327206118
1993-06-30,0.005384583626890763
1993-07-31,0.005318697546159422
1993-08-31,0.005242562987477624
1993-09-30,0.005083599189639868
1993-10-31,0.011340595469466926
1993-11-30,0.005026051450214922
1993-12-31,0.004987115396570206
1994-01-31,0.004959416781520309
1994-02-28,0.004835000654587276
1994-03-31,0.004784501364227422
1994-04-30,0.005620959999615311
1994-05-31,0.0051798218698002494
1994-06-30,0.005282523548919347
1994-07-31,0.005255941698473686
1994-08-31,0.005309090541544348
1994-09-30,0.0053580518473223425
1994-10-31,0.005587233294635148
1994-11-30,0.005579791432405165
1994-12-31,0.005731456327622338
1995-01-31,0.005644709515796849
1995-02-28,0.005522318778620828
1995-03-31,0.005252361685119098
