DATE,GARCH_1m
1926-12-31,0.005403022707901296
1927-01-31,0.005199533323562811
1927-02-28,0.00496944597808958
1927-03-31,0.005039086041555288
1927-04-30,0.0049870411764538726
1927-05-31,0.00485364092930414
1927-06-30,0.004916885872691054
1927-07-31,0.004798272929492736
1927-08-31,0.004925044959342847
1927-09-30,0.00512288378343908
1927-10-31,0.0048547431931015945
1927-11-30,0.0044270471321078975
1927-12-31,0.004941438737885297
1928-01-31,0.005080856528444221
1928-02-29,0.005218538005922392
1928-03-31,0.0052612763833849085
1928-04-30,0.005850008869563028
1928-05-31,0.00593690989029327
1928-06-30,0.005708344326767686
1928-07-31,0.005720750147364458
1928-08-31,0.006116361672755951
1928-09-30,0.007431778611871503
1928-10-31,0.007571687014829109
1928-11-30,0.006438118961844361
1928-12-31,0.006597622488055279
1929-01-31,0.007903150639801884
1929-02-28,0.013818603926239433
1929-03-31,0.006908640862489937
1929-04-30,0.011867837187519851
1929-05-31,0.007253243483463751
1929-06-30,0.008388330167406713
1929-07-31,0.0071472528209003214
1929-08-31,0.01043227239302455
1929-09-30,0.04228983493875856
1929-10-31,0.011631460140830299
1929-11-30,0.014442892637024137
1929-12-31,0.008195133413374703
1930-01-31,0.012455114615679498
1930-02-28,0.012881615248510588
1930-03-31,0.010284347594176587
1930-04-30,0.008739388953657097
1930-05-31,0.018952995133325986
1930-06-30,0.013114451950390245
1930-07-31,0.008696958313917416
1930-08-31,0.014217612787140645
1930-09-30,0.014635558891623084
1930-10-31,0.012471483774887401
1930-11-30,0.015552478479957036
1930-12-31,0.01124757692069614
1931-01-31,0.01080106356837516
1931-02-28,0.0119342036755389
1931-03-31,0.013318285035610467
1931-04-30,0.013535529847133868
1931-05-31,0.021347855704872087
1931-06-30,0.014777040270657689
1931-07-31,0.012331882162664856
1931-08-31,0.02835171409971082
1931-09-30,0.022516578794333986
1931-10-31,0.01853638110428176
1931-11-30,0.024683944403103893
1931-12-31,0.016542531444783036
1932-01-31,0.02176596739370408
1932-02-29,0.016889949344111897
1932-03-31,0.02339876167406057
1932-04-30,0.021339289950182812
1932-05-31,0.021152102213202427
1932-06-30,0.02719963221170818
1932-07-31,0.021270909114690865
1932-08-31,0.025561272271507403
1932-09-30,0.023946291029391074
1932-10-31,0.023079002213536922
1932-11-30,0.023947436884504247
1932-12-31,0.021114893148755535
1933-01-31,0.023300957048299036
1933-02-28,0.029857605833460626
1933-03-31,0.026223506898892822
1933-04-30,0.02583728277293995
1933-05-31,0.025722670685727974
1933-06-30,0.02974834029553383
1933-07-31,0.024364182460720182
1933-08-31,0.025510255882120168
1933-09-30,0.025740034375696053
1933-10-31,0.023524378595440744
1933-11-30,0.023147548746774545
1933-12-31,0.021939819187673834
1934-01-31,0.022737678692654344
1934-02-28,0.021338794574024943
1934-03-31,0.015125446956607846
1934-04-30,0.015074370147335375
1934-05-31,0.015005026769215592
1934-06-30,0.02384058707497411
1934-07-31,0.014579115498728095
1934-08-31,0.014949329990698876
1934-09-30,0.012698821939311853
1934-10-31,0.0138061926374941
1934-11-30,0.013179442544921652
1934-12-31,0.012834846320041381
1935-01-31,0.012290780194325016
1935-02-28,0.011913227879613759
1935-03-31,0.01047635434239915
1935-04-30,0.011216752285707822
1935-05-31,0.010097891900429635
1935-06-30,0.009372319319544234
1935-07-31,0.009412002375063006
1935-08-31,0.00910326426018077
1935-09-30,0.008561621984678285
1935-10-31,0.00870988139395382
1935-11-30,0.008802107401319325
1935-12-31,0.008731867953668754
1936-01-31,0.008616217095593544
1936-02-29,0.008454730646218876
1936-03-31,0.011565139455331663
1936-04-30,0.008500855335994413
1936-05-31,0.008159099092192734
1936-06-30,0.008079319062184861
1936-07-31,0.008690794896858239
1936-08-31,0.008084368127614905
1936-09-30,0.00870580286566327
1936-10-31,0.008426592174384994
1936-11-30,0.008793364372359697
1936-12-31,0.007536838931198644
1937-01-31,0.007600125040245965
1937-02-28,0.008234797449173287
1937-03-31,0.007918113017589245
1937-04-30,0.0075074162212661125
1937-05-31,0.008088970184383778
1937-06-30,0.00781432749573463
1937-07-31,0.008447634674856331
1937-08-31,0.008393647214772367
1937-09-30,0.02930536989748191
1937-10-31,0.02798636171079438
1937-11-30,0.01717196000488047
1937-12-31,0.015209715555001382
1938-01-31,0.014956913095215437
1938-02-28,0.025645647089595627
1938-03-31,0.019262633542630487
1938-04-30,0.012669085418867267
1938-05-31,0.019412894679356963
1938-06-30,0.015863251919540692
1938-07-31,0.017339308358372465
1938-08-31,0.022852498816336397
1938-09-30,0.01354658592507313
1938-10-31,0.014119989139588054
1938-11-30,0.013770155605917973
1938-12-31,0.016262087505304106
1939-01-31,0.012549874982584707
1939-02-28,0.016325132295209346
1939-03-31,0.012577049792301353
1939-04-30,0.011250242095294571
1939-05-31,0.01316827195022604
1939-06-30,0.010434941180480302
1939-07-31,0.01565024552198479
1939-08-31,0.011424731649384396
1939-09-30,0.012442389680919584
1939-10-31,0.012601150226986692
1939-11-30,0.008013377457822934
1939-12-31,0.00674252609729461
1940-01-31,0.010716785979268081
1940-02-29,0.004981021432266869
1940-03-31,0.005335531723937136
1940-04-30,0.02432012508803373
1940-05-31,0.016051290219581873
1940-06-30,0.00797607722102922
1940-07-31,0.009172822723720133
1940-08-31,0.00991104246134244
1940-09-30,0.006709872633138145
1940-10-31,0.007840225138705002
1940-11-30,0.006319875355671858
1940-12-31,0.010817413111828917
1941-01-31,0.007310793144425981
1941-02-28,0.0070710194322191385
1941-03-31,0.00681141019533466
1941-04-30,0.008288211375880159
